"all_themes","organization_org_state","measure","amount","short_label"
"theme4","NE","Funding",3.716144,"Pediatrics"
"theme4","NH","Awards",2,"Pediatrics"
"theme4","NH","Funding",0.703158,"Pediatrics"
"theme4","NJ","Awards",22,"Pediatrics"
"theme4","NJ","Funding",13.109022,"Pediatrics"
"theme4","NM","Awards",2,"Pediatrics"
"theme4","NM","Funding",0.543491,"Pediatrics"
"theme4","NV","Awards",3,"Pediatrics"
"theme4","NV","Funding",0.966948,"Pediatrics"
"theme4","NY","Awards",116,"Pediatrics"
"theme4","NY","Funding",61.011923,"Pediatrics"
"theme4","OH","Awards",76,"Pediatrics"
"theme4","OH","Funding",39.930947,"Pediatrics"
"theme4","OK","Awards",5,"Pediatrics"
"theme4","OK","Funding",2.249661,"Pediatrics"
"theme4","ON","Awards",2,"Pediatrics"
"theme4","ON","Funding",1.040904,"Pediatrics"
"theme4","OR","Awards",18,"Pediatrics"
"theme4","OR","Funding",11.342092,"Pediatrics"
"theme4","PA","Awards",113,"Pediatrics"
"theme4","PA","Funding",64.091723,"Pediatrics"
"theme4","RI","Awards",22,"Pediatrics"
"theme4","RI","Funding",8.304658,"Pediatrics"
"theme4","SC","Awards",29,"Pediatrics"
"theme4","SC","Funding",11.196674,"Pediatrics"
"theme4","TN","Awards",24,"Pediatrics"
"theme4","TN","Funding",11.580596,"Pediatrics"
"theme4","TX","Awards",67,"Pediatrics"
"theme4","TX","Funding",30.944822,"Pediatrics"
"theme4","UT","Awards",15,"Pediatrics"
"theme4","UT","Funding",9.244955,"Pediatrics"
"theme4","VA","Awards",21,"Pediatrics"
"theme4","VA","Funding",10.056977,"Pediatrics"
"theme4","VT","Awards",2,"Pediatrics"
"theme4","VT","Funding",0.668407,"Pediatrics"
"theme4","WA","Awards",74,"Pediatrics"
"theme4","WA","Funding",45.589556,"Pediatrics"
"theme4","WI","Awards",33,"Pediatrics"
"theme4","WI","Funding",15.113394,"Pediatrics"
"theme4","WV","Awards",1,"Pediatrics"
